year,state_or_territory,sex,name,count,rank,source_url,source_name,notes
2023,NSW,girl,Isla,,1,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Amelia,,2,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Olivia,,3,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Mia,,4,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Charlotte,,5,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Ava,,6,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Lily,,7,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Sophia,,8,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Evelyn,,9,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,girl,Matilda,,10,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Oliver,,1,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Noah,,2,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Leo,,3,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Henry,,4,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Theodore,,5,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Luca,,6,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Hudson,,7,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,William,,8,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Lucas,,9,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
2023,NSW,boy,Charlie,,10,https://www.news.com.au/lifestyle/parenting/babies/nsws-most-popular-baby-names-revealed/news-story/9193a8c3dd5f53edff2b816978c06268,NSW 2023 registry release via news.com.au,top 100 only / count unavailable
